LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,Concentration,ADC
7,0.3545634772466576,0.3571142554283142,0.2926120460033417,0.3984643518924713,0.0005132904803683,46,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.1353,
8,0.2559713176206538,0.2567315548658371,0.2361134141683578,0.2709226310253143,7.405729547581828e-05,38,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.193,
9,0.1754177756780801,0.1770522445440292,0.1608868837356567,0.181365430355072,2.3785763580560303e-05,43,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.2768,
10,0.1160132037475705,0.1162281669676303,0.1096439287066459,0.1247300282120704,1.284460096315134e-05,40,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.4276,
11,0.0873760011874967,0.0872555077075958,0.0798767954111099,0.096154123544693,1.211713931310141e-05,36,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.5555,
12,0.05907581228672,0.0585005916655063,0.0474278591573238,0.0771292969584465,3.2825788537925804e-05,41,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,0.7902,
13,0.0455007571223619,0.0445050969719886,0.0384366884827613,0.0580489039421081,2.065138171583725e-05,37,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,1.1274,
14,0.0339836035713144,0.0339156351983547,0.0010000000474974,0.0540238842368125,9.122784657901956e-05,41,20240708,P0009,full,T1,T2mimics_fix,1,CGv1,1.5996,
1,2.5200906064775257,2.4492034912109375,1.3473937511444092,3.7711780071258545,0.3990292433016131,36,20240708,P0009,full,T1,ADC_fix,1,CGv1,0.0,2067.0
2,0.3422071881592273,0.3459455370903015,0.2901635766029358,0.3758727610111236,0.0004518869362009,40,20240708,P0009,full,T1,ADC_fix,1,CGv1,50.0,315.0
3,0.8349794650619681,0.8653771877288818,0.6060897707939148,0.9173088073730468,0.0059147133917479,44,20240708,P0009,full,T1,ADC_fix,1,CGv1,0.0,2067.0
4,2.5534655451774597,2.6989489793777466,1.6007065773010254,3.226738452911377,0.1930960047503334,44,20240708,P0009,full,T1,ADC_fix,1,CGv1,0.0,2067.0
5,1.902968151701821,1.878162503242493,1.5262415409088137,2.30668044090271,0.0383278131071237,36,20240708,P0009,full,T1,ADC_fix,1,CGv1,10.0,1591.0
6,1.4465187129221464,1.4572145342826843,1.00395929813385,1.7569072246551514,0.022846716489411,38,20240708,P0009,full,T1,ADC_fix,1,CGv1,20.0,1211.0
7,1.067199922270245,1.0677290558815002,0.8843324184417725,1.2973299026489258,0.0088341520357517,36,20240708,P0009,full,T1,ADC_fix,1,CGv1,30.0,876.0
8,0.6157227017813258,0.6154608726501465,0.4959940016269684,0.7433278560638428,0.0047609512268717,36,20240708,P0009,full,T1,ADC_fix,1,CGv1,40.0,527.0
9,0.6021176129579544,0.6113106310367584,0.4277280569076538,0.7245998978614807,0.0048119519046345,48,20240708,P0009,full,T1,ADC_fix,1,CGv1,40.0,527.0
10,0.3473734922707081,0.3497254550457001,0.283675342798233,0.3799462020397186,0.0003907086453569,40,20240708,P0009,full,T1,ADC_fix,1,CGv1,50.0,315.0
11,2.7901709808243647,2.7610816955566406,2.1000354290008545,3.400960683822632,0.1144619541624612,36,20240708,P0009,full,T1,ADC_fix,1,CGv1,0.0,2067.0
12,2.033965512325889,2.005486488342285,1.651464343070984,2.451237916946411,0.0462650315210478,38,20240708,P0009,full,T1,ADC_fix,1,CGv1,10.0,1591.0
13,1.4865231747212615,1.4879615902900696,1.1570247411727903,1.90584659576416,0.0226661397669629,46,20240708,P0009,full,T1,ADC_fix,1,CGv1,20.0,1211.0
14,1.0369040689817288,1.05927574634552,0.7958515882492065,1.1878175735473633,0.0101981008331879,41,20240708,P0009,full,T1,ADC_fix,1,CGv1,30.0,876.0
1,0.8927963100920648,0.8578324816375971,0.387416584379971,1.6409655816853046,0.062346858272873,47,20240708,P0009,full,T2,T1mimics_fix,1,online,0.29,
2,0.9561290289858978,0.9325318632274866,0.4344495283439755,2.273316596671939,0.0869796434108989,45,20240708,P0009,full,T2,T1mimics_fix,1,online,0.6,
3,0.8120421145960341,0.7665332374721766,0.5243654506281018,1.4957167841494083,0.0427250664046989,43,20240708,P0009,full,T2,T1mimics_fix,1,online,1.04,
4,0.5327678502033705,0.519523824043572,0.354216859228909,0.9145486787706614,0.0096056820450669,54,20240708,P0009,full,T2,T1mimics_fix,1,online,1.64,
5,0.4240028728069142,0.4206163095310331,0.3196338121965527,0.581168105378747,0.0035083571323983,47,20240708,P0009,full,T2,T1mimics_fix,1,online,2.52,
6,0.3388646987423885,0.3334670310094952,0.2975006620958447,0.3970998375490308,0.0005208129019758,51,20240708,P0009,full,T2,T1mimics_fix,1,online,3.68,
7,0.250157176485019,0.2518510400131344,0.2200346367433667,0.2726008682325482,0.0001488893907228,49,20240708,P0009,full,T2,T1mimics_fix,1,online,5.43,
8,0.1914976603473569,0.1916765381768345,0.1673819476366043,0.2103513835743069,9.685842657851147e-05,58,20240708,P0009,full,T2,T1mimics_fix,1,online,7.74,
9,0.1365579274555911,0.1355655443668365,0.1244989693164825,0.1563153725862503,4.464988519020632e-05,46,20240708,P0009,full,T2,T1mimics_fix,1,online,11.3,
10,0.0942452074311397,0.0933742269873619,0.0788493472337722,0.1065157848596572,5.046507940202169e-05,54,20240708,P0009,full,T2,T1mimics_fix,1,online,16.5,
11,0.0713179281022813,0.071932737827301,0.05533287525177,0.0871492785215377,5.09342869776377e-05,54,20240708,P0009,full,T2,T1mimics_fix,1,online,23.3,
12,0.052706908290669,0.0525662314891815,0.027666437625885,0.0733160597085952,8.301009705116239e-05,59,20240708,P0009,full,T2,T1mimics_fix,1,online,32.7,
13,0.0333095126019583,0.0318164032697677,0.0193665063381195,0.0525662314891815,5.037887163366891e-05,63,20240708,P0009,full,T2,T1mimics_fix,1,online,46.0,
14,0.0339039617451754,0.0304330813884735,0.0124498969316482,0.1009824973344802,0.0002753378271718,55,20240708,P0009,full,T2,T1mimics_fix,1,online,65.3,
1,0.597226862520108,0.5659083358757198,0.3804999749734998,1.0156176337227223,0.0237192004283607,58,20240708,P0009,full,T2,T2mimics_fix,1,online,0.0113,
2,0.7083244229789893,0.6904505340009928,0.5036156224086881,1.1982161220535636,0.0197085125032892,53,20240708,P0009,full,T2,T2mimics_fix,1,online,0.0181,
3,0.5029896692574024,0.4973906739428639,0.3957165156677365,0.7056670746952295,0.0032385001305956,50,20240708,P0009,full,T2,T2mimics_fix,1,online,0.0282,
4,0.349784582997007,0.3403836404159665,0.2781341557577252,0.4676492534950375,0.001816258650981,49,20240708,P0009,full,T2,T2mimics_fix,1,online,0.0434,
5,0.2667531893707134,0.2684509025886655,0.2255679242685437,0.2975006620958447,0.0002841546839197,44,20240708,P0009,full,T2,T2mimics_fix,1,online,0.0673,
6,0.2286733407367553,0.2269512461498379,0.2145013492181897,0.2546176837757229,9.142462443178064e-05,49,20240708,P0009,full,T2,T2mimics_fix,1,online,0.0934,
7,0.1817707366958536,0.182598488330841,0.1618486601114273,0.2075847398117184,8.327907685295828e-05,54,20240708,P0009,full,T2,T2mimics_fix,1,online,0.1353,
8,0.1308935704658616,0.1286489349603653,0.116199038028717,0.154932050704956,8.01700538691863e-05,53,20240708,P0009,full,T2,T2mimics_fix,1,online,0.193,
9,0.1019831982698846,0.1009824973344802,0.071932737827301,0.1410988318920135,0.0002208109533773,47,20240708,P0009,full,T2,T2mimics_fix,1,online,0.2768,
10,0.0809725854701774,0.0746993815898895,0.0470329439640045,0.149398763179779,0.0006090833278371,43,20240708,P0009,full,T2,T2mimics_fix,1,online,0.4276,
11,0.0523644970481594,0.0511829096078872,0.0235164719820022,0.0899159222841262,0.0001782809860937,48,20240708,P0009,full,T2,T2mimics_fix,1,online,0.5555,
12,0.0413786157742142,0.0345830470323562,0.022133150100708,0.2338678555563092,0.0009359969456194,45,20240708,P0009,full,T2,T2mimics_fix,1,online,0.7902,
13,0.0437990611617235,0.027666437625885,0.0124498969316482,0.4676492534950375,0.0049462423246522,47,20240708,P0009,full,T2,T2mimics_fix,1,online,1.1274,
14,0.1231982624919878,0.0539495533704757,0.0,0.4856324379518628,0.0176205001431542,45,20240708,P0009,full,T2,T2mimics_fix,1,online,1.5996,
1,1.4930071238165892,0.9893345179781318,0.5936180023103953,5.6659999681636695,1.1557062050400757,44,20240708,P0009,full,T2,ADC_fix,1,online,0.0,2067.0
2,0.303223817330219,0.3030339496210217,0.2587676494196057,0.3749666874483228,0.0006494177994014,51,20240708,P0009,full,T2,ADC_fix,1,online,50.0,315.0
3,0.8273385597034184,0.8045745892077685,0.6185177961736917,1.1138334872946145,0.0169324558506367,54,20240708,P0009,full,T2,ADC_fix,1,online,0.0,2067.0
4,1.5675489488297276,1.3297181583940982,0.0,4.224232737384737,0.5028629647497666,49,20240708,P0009,full,T2,ADC_fix,1,online,0.0,2067.0
5,1.760808554007946,1.439000587016344,0.9103987131267788,4.867650327421725,1.0823409557142505,34,20240708,P0009,full,T2,ADC_fix,1,online,10.0,1591.0
6,1.4126938919215042,1.325524963941425,0.8329326877743006,2.6856329749152064,0.1439448670172701,44,20240708,P0009,full,T2,ADC_fix,1,online,20.0,1211.0
7,1.0214697337127292,0.9872595351561904,0.6987504652887583,1.7724676180258394,0.0499177899616763,48,20240708,P0009,full,T2,ADC_fix,1,online,30.0,876.0
8,0.5297294253188496,0.4994656567648053,0.31548384655267,0.7941996750980616,0.0149449148477834,48,20240708,P0009,full,T2,ADC_fix,1,online,40.0,527.0
9,0.5987443064162281,0.5784014616161585,0.459349322207272,1.0045510586723685,0.0127334662571375,41,20240708,P0009,full,T2,ADC_fix,1,online,40.0,527.0
10,0.3339857767149806,0.3334670310094952,0.2864340870454907,0.404016446955502,0.0008715098504704,40,20240708,P0009,full,T2,ADC_fix,1,online,50.0,315.0
11,2.18786353426675,1.8769084200635553,0.0,5.394782421812415,1.0968428011213118,42,20240708,P0009,full,T2,ADC_fix,1,online,0.0,2067.0
12,1.8159031732931084,1.6589487661421298,0.0,5.249533624276519,0.7082509530586154,46,20240708,P0009,full,T2,ADC_fix,1,online,10.0,1591.0
13,1.4162605709460778,1.2839820786938072,0.9200819662958384,2.534850889854133,0.1570444501942232,52,20240708,P0009,full,T2,ADC_fix,1,online,20.0,1211.0
14,0.9923841139437124,0.9644347241148352,0.7319501904398203,1.5233832217752934,0.0334833994429148,44,20240708,P0009,full,T2,ADC_fix,1,online,30.0,876.0
1,0.6333980011093919,0.5955770039876912,0.4473147966747531,1.0043521165174736,0.0180894080064151,61,230224,P0004,full,R1,T1mimics_fix,1,CGv1,0.29,
2,0.7567817209431379,0.6942305085407833,0.6277729117511649,1.36163515530005,0.0234399739516143,49,230224,P0004,full,R1,T1mimics_fix,1,CGv1,0.6,
3,1.0117461890076227,0.9816758070808131,0.810852181766969,1.3567001582459532,0.0204050394557992,58,230224,P0004,full,R1,T1mimics_fix,1,CGv1,1.04,
4,1.4128321438922964,1.3483046066519564,1.1939105864496984,2.248339932506447,0.0492512796650452,56,230224,P0004,full,R1,T1mimics_fix,1,CGv1,1.64,
5,1.960437717904012,1.9102130582564785,1.7595343151444065,2.4432930161923423,0.0307009538702883,61,230224,P0004,full,R1,T1mimics_fix,1,CGv1,2.52,
6,2.669062696375264,2.609592044369804,2.4271440822831325,3.4786514691965924,0.0375148745754925,49,230224,P0004,full,R1,T1mimics_fix,1,CGv1,3.68,
7,3.6051808068887574,3.5809507059464103,3.490041174966095,3.8083414474530217,0.0058715449512007,37,230224,P0004,full,R1,T1mimics_fix,1,CGv1,5.43,
8,4.981498910729096,5.004103344722938,4.7596474921708465,5.166559422752123,0.0097921417081234,39,230224,P0004,full,R1,T1mimics_fix,1,CGv1,7.74,
9,7.114592566082209,7.100912314184098,7.014750667959608,7.287235297094243,0.0044333490336492,40,230224,P0004,full,R1,T1mimics_fix,1,CGv1,11.3,
10,10.172683018023816,10.261605015407085,9.266664415896486,10.655324505454216,0.1181624862669129,40,230224,P0004,full,R1,T1mimics_fix,1,CGv1,16.5,
11,14.36188018702864,14.463189248053569,11.748241650943871,15.254051307987146,0.5170716189643164,40,230224,P0004,full,R1,T1mimics_fix,1,CGv1,23.3,
12,19.914659659434108,20.2176934299152,16.44437869195385,22.004830750361528,1.5745493996060929,40,230224,P0004,full,R1,T1mimics_fix,1,CGv1,32.7,
13,28.671877328510412,29.482212539387284,21.09971229107343,33.68664365468372,10.695825013950742,40,230224,P0004,full,R1,T1mimics_fix,1,CGv1,46.0,
14,60.67606660419185,40.944901021206235,27.30234512847698,889.9577595272309,17664.50218809143,40,230224,P0004,full,R1,T1mimics_fix,1,CGv1,65.3,
1,0.7035247174429279,0.6813823946434707,0.5654320138853782,1.04290222083035,0.0122714774311327,42,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.0113,
2,0.6773565840649569,0.6562059800579496,0.5374726061328945,0.9349297911706806,0.0090946790951029,48,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.0181,
3,1.0207357349613695,0.9842713388241088,0.8977349780483963,1.2797716227855152,0.0108785564615334,37,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.0282,
4,1.3270424030796943,1.301946204868302,1.2063982217701992,1.584168527602438,0.0074957640198984,37,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.0434,
5,1.921714264002978,1.9113797810803368,1.7376239259355235,2.187479880124986,0.0133472736856428,38,230224,P0004,full,R1,T2mimics_fix,1,CGv1,0.0673,
