LabelValue,Mean,Min,Max,Variance,Subject,Session,Run,Seg,SoftwareVersions
7.0,1.222914657349767,292.0,2511.0,174289.9356595296,P0003,20231003162834,1,T1,8.6.0
8.0,0.8579387675422727,12.0,1824.0,125629.01190476202,P0003,20231003162834,1,T1,8.6.0
9.0,0.6499100250524339,27.0,1307.0,51219.918820898725,P0003,20231003162834,1,T1,8.6.0
10.0,0.32842588481098234,120.0,802.0,16104.25958871352,P0003,20231003162834,1,T1,8.6.0
11.0,0.18302514191956776,23.0,888.0,21971.94884400745,P0003,20231003162834,1,T1,8.6.0
12.0,0.13023065898016464,37.0,546.0,9050.785835643388,P0003,20231003162834,1,T1,8.6.0
13.0,0.10830491841778835,10.0,452.0,8471.497804825038,P0003,20231003162834,1,T1,8.6.0
14.0,0.12467549756947414,16.0,699.0,21386.844496110167,P0003,20231003162834,1,T1,8.6.0
1.0,2.14899266130646,2218.0,3341.0,45120.415584415736,P0003,20231003162834,1,T2,8.6.0
2.0,2.1430562753860403,2162.0,3320.0,85355.30254237329,P0003,20231003162834,1,T2,8.6.0
3.0,1.9090956041552285,1887.0,2884.0,44747.66779660976,P0003,20231003162834,1,T2,8.6.0
4.0,1.7469305389432417,1784.0,2800.0,64778.57518796942,P0003,20231003162834,1,T2,8.6.0
5.0,1.7227992627661644,1678.0,2695.0,79205.2863564247,P0003,20231003162834,1,T2,8.6.0
6.0,1.5502790802326132,1633.0,2404.0,31323.57205513758,P0003,20231003162834,1,T2,8.6.0
7.0,1.1651430865362327,1241.0,1828.0,15929.791602662492,P0003,20231003162834,1,T2,8.6.0
8.0,0.7366670665540822,783.0,1275.0,9952.718293395665,P0003,20231003162834,1,T2,8.6.0
9.0,0.33554596189416636,262.0,637.0,8408.662698412698,P0003,20231003162834,1,T2,8.6.0
10.0,0.11997489800651251,70.0,353.0,6483.850819672132,P0003,20231003162834,1,T2,8.6.0
11.0,0.08566715178895411,52.0,204.0,1227.7371584699451,P0003,20231003162834,1,T2,8.6.0
12.0,0.11725721463982193,61.0,315.0,5180.361202185791,P0003,20231003162834,1,T2,8.6.0
13.0,0.11347104224553548,56.0,441.0,8058.958249158248,P0003,20231003162834,1,T2,8.6.0
14.0,0.10512015554494641,58.0,340.0,6283.19962982549,P0003,20231003162834,1,T2,8.6.0
1.0,1.7384604873237122,242.0,3615.0,678603.3567587934,P0003,20231003162834,2,T1,8.6.0
2.0,1.9260041246937512,761.0,3667.0,372733.1209557504,P0003,20231003162834,2,T1,8.6.0
3.0,1.8990059326290925,1000.0,3517.0,274039.9525376888,P0003,20231003162834,2,T1,8.6.0
4.0,1.66807034068563,308.0,3362.0,439428.89971219207,P0003,20231003162834,2,T1,8.6.0
5.0,1.6191346035637093,979.0,3355.0,332470.0932096977,P0003,20231003162834,2,T1,8.6.0
6.0,1.5278647348239285,981.0,2979.0,216327.80772385528,P0003,20231003162834,2,T1,8.6.0
7.0,1.2147157832929172,137.0,2425.0,167571.57127317908,P0003,20231003162834,2,T1,8.6.0
8.0,0.8526115748458699,1.0,1770.0,131842.42605393406,P0003,20231003162834,2,T1,8.6.0
9.0,0.6471264787092573,2.0,1247.0,42740.25857246454,P0003,20231003162834,2,T1,8.6.0
10.0,0.3291337610655202,61.0,779.0,13526.881169709262,P0003,20231003162834,2,T1,8.6.0
11.0,0.18453334843294164,67.0,600.0,14122.019177960849,P0003,20231003162834,2,T1,8.6.0
12.0,0.13296209792125901,37.0,531.0,8597.538940809969,P0003,20231003162834,2,T1,8.6.0
13.0,0.12183071153694243,45.0,497.0,10103.404589530955,P0003,20231003162834,2,T1,8.6.0
14.0,0.13854602047546888,32.0,770.0,20694.103371188416,P0003,20231003162834,2,T1,8.6.0
1.0,2.1362522178193455,1979.0,3343.0,58622.76331168847,P0003,20231003162834,2,T2,8.6.0
2.0,2.1196449297286613,2003.0,3255.0,101279.57773744746,P0003,20231003162834,2,T2,8.6.0
3.0,1.9034266323641118,1796.0,2873.0,47722.82896174888,P0003,20231003162834,2,T2,8.6.0
4.0,1.7674651663408292,1672.0,2800.0,67214.17919799473,P0003,20231003162834,2,T2,8.6.0
5.0,1.7282403686592824,1712.0,2719.0,65141.18360655705,P0003,20231003162834,2,T2,8.6.0
6.0,1.5441325822657812,1599.0,2393.0,43215.86904761887,P0003,20231003162834,2,T2,8.6.0
7.0,1.1734706848579097,1273.0,1844.0,13166.265625,P0003,20231003162834,2,T2,8.6.0
8.0,0.7364632586146678,772.0,1320.0,13815.898669086528,P0003,20231003162834,2,T2,8.6.0
9.0,0.33192143899062115,308.0,673.0,7245.773169482848,P0003,20231003162834,2,T2,8.6.0
10.0,0.12113137315213168,60.0,355.0,7325.912568306011,P0003,20231003162834,2,T2,8.6.0
11.0,0.09533272599850316,44.0,239.0,2569.3836065573773,P0003,20231003162834,2,T2,8.6.0
12.0,0.10607736360374927,52.0,242.0,2574.931782125858,P0003,20231003162834,2,T2,8.6.0
13.0,0.11942895143819385,69.0,370.0,7797.557575757576,P0003,20231003162834,2,T2,8.6.0
14.0,0.11701230616621333,44.0,367.0,8563.839502908515,P0003,20231003162834,2,T2,8.6.0
1.0,1.768282937319653,168.0,3540.0,508618.5008535338,P0003,20231004161510,1,T1,8.6.0
2.0,1.8995024950824944,424.0,3485.0,339498.3917910445,P0003,20231004161510,1,T1,8.6.0
3.0,1.9275898543085903,1216.0,3680.0,204107.5267364624,P0003,20231004161510,1,T1,8.6.0
4.0,1.6330088456166938,546.0,3203.0,373766.3516251578,P0003,20231004161510,1,T1,8.6.0
5.0,1.6233803818669479,882.0,3588.0,300744.5682448587,P0003,20231004161510,1,T1,8.6.0
6.0,1.5270689192418492,502.0,2997.0,211935.0777251187,P0003,20231004161510,1,T1,8.6.0
